,CH1,CH2
Second,Volt,Volt
7.42775e-03,2.97e-01,1.98e+01, 
7.57420e-03,2.97e-01,1.98e+01, 
7.72071e-03,2.97e-01,1.98e+01, 
7.86722e-03,2.97e-01,1.98e+01, 
8.01367e-03,2.97e-01,2.00e+01, 
8.16017e-03,2.97e-01,2.00e+01, 
8.30662e-03,2.97e-01,2.00e+01, 
8.45313e-03,2.97e-01,1.98e+01, 
8.59964e-03,2.97e-01,1.98e+01, 
8.74609e-03,2.97e-01,1.98e+01, 
8.89260e-03,2.97e-01,1.98e+01, 
9.03904e-03,2.97e-01,1.98e+01, 
9.18555e-03,2.97e-01,1.98e+01, 
9.33206e-03,2.97e-01,1.98e+01, 
9.47851e-03,2.97e-01,2.00e+01, 
9.62502e-03,2.97e-01,1.98e+01, 
9.77147e-03,2.97e-01,1.98e+01, 
9.91797e-03,2.97e-01,2.00e+01, 
1.00645e-02,2.97e-01,2.00e+01, 
1.02109e-02,2.97e-01,2.00e+01, 
1.03574e-02,2.97e-01,1.98e+01, 
1.05039e-02,2.97e-01,1.98e+01, 
1.06504e-02,2.97e-01,1.98e+01, 
1.07969e-02,2.97e-01,2.00e+01, 
1.09434e-02,2.97e-01,1.98e+01, 
1.10899e-02,2.97e-01,1.98e+01, 
1.12363e-02,2.97e-01,1.98e+01, 
1.13828e-02,2.97e-01,1.98e+01, 
1.15293e-02,2.97e-01,1.98e+01, 
1.16758e-02,2.97e-01,2.00e+01, 
1.18223e-02,2.97e-01,2.00e+01, 
1.19687e-02,2.97e-01,1.98e+01, 
1.21152e-02,2.97e-01,1.98e+01, 
1.22617e-02,2.97e-01,1.98e+01, 
1.24082e-02,2.97e-01,1.98e+01, 
1.25547e-02,2.97e-01,1.98e+01, 
1.27012e-02,2.97e-01,1.98e+01, 
1.28477e-02,2.97e-01,1.98e+01, 
1.29942e-02,2.97e-01,2.00e+01, 
1.31406e-02,2.97e-01,1.98e+01, 
1.32871e-02,2.97e-01,2.00e+01, 
1.34336e-02,2.97e-01,1.98e+01, 
1.35801e-02,2.97e-01,1.98e+01, 
1.37266e-02,2.97e-01,1.98e+01, 
1.38730e-02,2.97e-01,1.98e+01, 
1.40195e-02,2.97e-01,1.98e+01, 
1.41660e-02,2.96e-01,1.98e+01, 
1.43125e-02,2.97e-01,1.98e+01, 
1.44590e-02,2.97e-01,1.98e+01, 
1.46055e-02,2.97e-01,1.98e+01, 
1.47520e-02,2.97e-01,1.98e+01, 
1.48984e-02,2.97e-01,2.00e+01, 
1.50449e-02,2.97e-01,2.00e+01, 
1.51914e-02,2.97e-01,1.98e+01, 
1.53379e-02,2.97e-01,1.98e+01, 
1.54844e-02,2.96e-01,1.98e+01, 
1.56308e-02,2.97e-01,1.98e+01, 
1.57773e-02,2.97e-01,2.00e+01, 
1.59239e-02,2.97e-01,2.00e+01, 
1.60703e-02,2.97e-01,1.98e+01, 
1.62168e-02,2.97e-01,1.98e+01, 
1.63633e-02,2.97e-01,1.98e+01, 
1.65098e-02,2.97e-01,1.98e+01, 
1.66563e-02,2.97e-01,1.98e+01, 
1.68027e-02,2.97e-01,1.98e+01, 
1.69492e-02,2.97e-01,1.98e+01, 
1.70957e-02,2.97e-01,1.98e+01, 
1.72422e-02,2.97e-01,1.98e+01, 
1.73887e-02,2.97e-01,1.98e+01, 
1.75352e-02,2.97e-01,1.98e+01, 
1.76817e-02,2.97e-01,1.98e+01, 
1.78281e-02,2.97e-01,1.98e+01, 
1.79746e-02,2.97e-01,1.98e+01, 
1.81211e-02,2.97e-01,1.98e+01, 
1.82676e-02,2.97e-01,1.98e+01, 
1.84141e-02,2.97e-01,1.98e+01, 
1.85605e-02,2.96e-01,1.98e+01, 
1.87070e-02,2.97e-01,1.98e+01, 
1.88535e-02,2.97e-01,1.98e+01, 
1.90000e-02,2.97e-01,1.98e+01, 
1.91465e-02,2.97e-01,1.98e+01, 
1.92930e-02,2.97e-01,1.98e+01, 
1.94395e-02,2.97e-01,1.98e+01, 
1.95860e-02,2.97e-01,1.98e+01, 
1.97324e-02,2.97e-01,1.98e+01, 
1.98789e-02,2.97e-01,1.98e+01, 
2.00254e-02,2.97e-01,1.98e+01, 
2.01719e-02,2.97e-01,1.98e+01, 
2.03184e-02,2.97e-01,1.98e+01, 
2.04648e-02,2.97e-01,1.98e+01, 
2.06113e-02,2.97e-01,1.98e+01, 
2.07578e-02,2.97e-01,1.98e+01, 
2.09043e-02,2.96e-01,1.98e+01, 
2.10508e-02,2.96e-01,1.98e+01, 
2.11973e-02,2.97e-01,1.98e+01, 
2.13438e-02,2.97e-01,1.98e+01, 
2.14902e-02,2.96e-01,1.98e+01, 
2.16367e-02,2.97e-01,1.96e+01, 
2.17832e-02,2.97e-01,1.98e+01, 
2.19297e-02,2.97e-01,1.96e+01, 
2.20762e-02,2.97e-01,1.96e+01, 
2.22226e-02,2.97e-01,1.98e+01, 
2.23691e-02,2.96e-01,1.96e+01, 
2.25157e-02,2.97e-01,1.96e+01, 
2.26621e-02,2.96e-01,1.96e+01, 
2.28086e-02,2.97e-01,1.96e+01, 
2.29551e-02,2.97e-01,1.96e+01, 
2.31016e-02,2.97e-01,1.96e+01, 
2.32481e-02,2.97e-01,1.96e+01, 
2.33945e-02,2.97e-01,1.96e+01, 
2.35410e-02,2.97e-01,1.96e+01, 
2.36875e-02,2.97e-01,1.96e+01, 
2.38340e-02,2.97e-01,1.96e+01, 
2.39805e-02,2.97e-01,1.96e+01, 
2.41269e-02,2.97e-01,1.96e+01, 
2.42735e-02,2.97e-01,1.96e+01, 
2.44199e-02,2.97e-01,1.94e+01, 
2.45664e-02,2.97e-01,1.94e+01, 
2.47129e-02,2.97e-01,1.94e+01, 
2.48594e-02,2.97e-01,1.94e+01, 
2.50059e-02,2.97e-01,1.94e+01, 
2.51523e-02,2.97e-01,1.96e+01, 
2.52988e-02,2.97e-01,1.94e+01, 
2.54453e-02,2.97e-01,1.94e+01, 
2.55918e-02,2.97e-01,1.94e+01, 
2.57383e-02,2.97e-01,1.94e+01, 
2.58847e-02,2.97e-01,1.94e+01, 
