,CH1,CH3,CH4
Second,Volt,Volt,Volt
-1.40100e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.39953e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.39807e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.39660e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.39514e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.39367e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.39221e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.39074e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.38928e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.38781e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.38635e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.38488e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.38342e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.38195e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.38049e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.37902e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.37756e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.37609e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.37463e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.37316e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.37170e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.37023e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.36877e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.36730e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.36584e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.36438e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.36291e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.36145e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.35998e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.35852e-01,2.60e-01,-1.20e+00,3.04e-01, 
