,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
3.54060e-01,-1.60e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54080e-01,-1.52e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54100e-01,-1.68e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.54120e-01,-1.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54140e-01,-1.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54160e-01,-1.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54180e-01,-1.76e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54200e-01,-1.84e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54220e-01,-1.92e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54240e-01,-1.76e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54260e-01,-1.76e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54280e-01,-2.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54300e-01,-2.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54320e-01,-2.08e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54340e-01,-2.08e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54360e-01,-2.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54380e-01,-2.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54400e-01,-2.08e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54420e-01,-2.16e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54440e-01,-2.16e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54460e-01,-2.08e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54480e-01,-2.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54500e-01,-2.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54520e-01,-2.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54540e-01,-2.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54560e-01,-2.48e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54580e-01,-2.32e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54600e-01,-2.56e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54620e-01,-2.56e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54640e-01,-2.56e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54660e-01,-2.40e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54680e-01,-2.56e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54700e-01,-2.56e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54720e-01,-2.56e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54740e-01,-2.80e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54760e-01,-2.80e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54780e-01,-2.96e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54800e-01,-2.88e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54820e-01,-2.88e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54840e-01,-2.88e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54860e-01,-3.04e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54880e-01,-2.96e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54900e-01,-3.12e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54920e-01,-2.96e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54940e-01,-3.04e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54960e-01,-3.20e-02,2.14e-01,3.11e-01,-2.64e+00, 
