,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.36800e-01,3.84e-02,3.57e-01,3.24e-01,2.76e+00, 
-1.36400e-01,4.08e-02,3.57e-01,3.25e-01,2.80e+00, 
-1.36000e-01,4.16e-02,3.57e-01,3.24e-01,2.80e+00, 
-1.35600e-01,4.32e-02,3.57e-01,3.25e-01,2.72e+00, 
-1.35200e-01,4.24e-02,3.57e-01,3.25e-01,2.72e+00, 
-1.34800e-01,4.40e-02,3.56e-01,3.24e-01,2.76e+00, 
-1.34400e-01,4.40e-02,3.56e-01,3.24e-01,2.72e+00, 
-1.34000e-01,4.56e-02,3.55e-01,3.25e-01,2.68e+00, 
-1.33600e-01,4.56e-02,3.56e-01,3.24e-01,2.68e+00, 
-1.33200e-01,4.48e-02,3.55e-01,3.24e-01,2.72e+00, 
-1.32800e-01,4.56e-02,3.55e-01,3.24e-01,2.68e+00, 
-1.32400e-01,4.40e-02,3.56e-01,3.24e-01,2.64e+00, 
-1.32000e-01,4.56e-02,3.56e-01,3.24e-01,2.68e+00, 
-1.31600e-01,4.40e-02,3.57e-01,3.25e-01,2.64e+00, 
-1.31200e-01,4.40e-02,3.57e-01,3.24e-01,2.64e+00, 
-1.30800e-01,4.16e-02,3.57e-01,3.25e-01,2.60e+00, 
-1.30400e-01,4.24e-02,3.57e-01,3.25e-01,2.60e+00, 
-1.30000e-01,4.08e-02,3.57e-01,3.25e-01,2.64e+00, 
-1.29600e-01,4.08e-02,3.57e-01,3.25e-01,2.60e+00, 
-1.29200e-01,3.84e-02,3.56e-01,3.25e-01,2.56e+00, 
-1.28800e-01,3.76e-02,3.56e-01,3.25e-01,2.60e+00, 
-1.28400e-01,3.60e-02,3.55e-01,3.24e-01,2.56e+00, 
-1.28000e-01,3.60e-02,3.55e-01,3.25e-01,2.52e+00, 
-1.27600e-01,3.28e-02,3.54e-01,3.24e-01,2.60e+00, 
-1.27200e-01,3.28e-02,3.54e-01,3.25e-01,2.52e+00, 
-1.26800e-01,3.04e-02,3.53e-01,3.24e-01,2.56e+00, 
-1.26400e-01,3.04e-02,3.53e-01,3.24e-01,2.52e+00, 
-1.26000e-01,2.64e-02,3.52e-01,3.25e-01,2.52e+00, 
-1.25600e-01,2.56e-02,3.53e-01,3.25e-01,2.52e+00, 
-1.25200e-01,2.40e-02,3.52e-01,3.24e-01,2.52e+00, 
-1.24800e-01,2.40e-02,3.52e-01,3.25e-01,2.52e+00, 
-1.24400e-01,2.16e-02,3.52e-01,3.24e-01,2.44e+00, 
-1.24000e-01,2.08e-02,3.52e-01,3.25e-01,2.48e+00, 
-1.23600e-01,1.68e-02,3.52e-01,3.25e-01,2.44e+00, 
-1.23200e-01,1.68e-02,3.52e-01,3.25e-01,2.48e+00, 
-1.22800e-01,1.44e-02,3.51e-01,3.25e-01,2.40e+00, 
-1.22400e-01,1.36e-02,3.52e-01,3.25e-01,2.44e+00, 
-1.22000e-01,1.20e-02,3.51e-01,3.25e-01,2.40e+00, 
-1.21600e-01,1.20e-02,3.51e-01,3.25e-01,2.44e+00, 
-1.21200e-01,8.00e-03,3.52e-01,3.25e-01,2.40e+00, 
-1.20800e-01,7.20e-03,3.52e-01,3.25e-01,2.40e+00, 
-1.20400e-01,4.00e-03,3.51e-01,3.25e-01,2.40e+00, 
-1.20000e-01,4.00e-03,3.52e-01,3.25e-01,2.40e+00, 
-1.19600e-01,1.60e-03,3.51e-01,3.25e-01,2.36e+00, 
-1.19200e-01,1.60e-03,3.51e-01,3.25e-01,2.36e+00, 
-1.18800e-01,-1.60e-03,3.52e-01,3.25e-01,2.32e+00, 
-1.18400e-01,-1.60e-03,3.52e-01,3.26e-01,2.36e+00, 
-1.18000e-01,-4.00e-03,3.51e-01,3.25e-01,2.28e+00, 
-1.17600e-01,-5.60e-03,3.52e-01,3.25e-01,2.28e+00, 
-1.17200e-01,-7.20e-03,3.51e-01,3.26e-01,2.32e+00, 
-1.16800e-01,-8.00e-03,3.52e-01,3.26e-01,2.28e+00, 
-1.16400e-01,-9.60e-03,3.52e-01,3.26e-01,2.32e+00, 
-1.16000e-01,-9.60e-03,3.52e-01,3.26e-01,2.28e+00, 
-1.15600e-01,-1.36e-02,3.52e-01,3.26e-01,2.24e+00, 
-1.15200e-01,-1.36e-02,3.52e-01,3.26e-01,2.24e+00, 
-1.14800e-01,-1.68e-02,3.52e-01,3.26e-01,2.24e+00, 
-1.14400e-01,-1.68e-02,3.52e-01,3.26e-01,2.24e+00, 
-1.14000e-01,-1.84e-02,3.52e-01,3.26e-01,2.24e+00, 
-1.13600e-01,-1.84e-02,3.52e-01,3.26e-01,2.24e+00, 
-1.13200e-01,-2.16e-02,3.52e-01,3.26e-01,2.24e+00, 
-1.12800e-01,-2.24e-02,3.52e-01,3.26e-01,2.24e+00, 
-1.12400e-01,-2.48e-02,3.52e-01,3.27e-01,2.20e+00, 
-1.12000e-01,-2.48e-02,3.52e-01,3.27e-01,2.20e+00, 
-1.11600e-01,-2.72e-02,3.52e-01,3.26e-01,2.16e+00, 
-1.11200e-01,-2.72e-02,3.52e-01,3.26e-01,2.20e+00, 
-1.10800e-01,-2.96e-02,3.52e-01,3.27e-01,2.12e+00, 
-1.10400e-01,-2.96e-02,3.52e-01,3.27e-01,2.12e+00, 
-1.10000e-01,-3.20e-02,3.52e-01,3.27e-01,2.16e+00, 
